geo_code,label,elec_rs_15,elec_ns_15,elec_tot15,POP_JOIN,X_cor,Y_cor
E07000108,E92000001E07000108,187.601478,309.3725419,496.9740199,111674,1.290993382,51.21183874
E07000036,E92000001E07000036,185.3511849,239.0097395,424.3609244,112081,-1.345210976,52.93517583
E07000082,E92000001E07000082,215.3421093,325.0884397,540.430549,112779,-2.298647469,51.72881542
S12000028,S92000003S12000028,217.2361605,315.5203319,532.7564924,112799,-4.687376914,55.26875412
E07000171,E92000001E07000171,195.9140151,389.0199225,584.9339376,112863,-0.957295557,53.33254141
E06000036,E92000001E06000036,202.3510035,295.6299036,497.9809071,113205,-0.738177502,51.40761702
E07000173,E92000001E07000173,200.3122184,169.5563572,369.8685756,113543,-1.117816785,53.02807462
E07000193,E92000001E07000193,196.5105998,445.4264479,641.9370477,113583,-1.810812256,52.86302315
E07000225,E92000001E07000225,268.6956593,340.5746169,609.2702762,113794,-0.740738326,50.9365833
S12000026,S92000003S12000026,264.417035,320.0073495,584.4243845,113870,-2.786259065,55.57648179
E07000188,E92000001E07000188,218.7023623,409.6257684,628.3281307,114588,-2.951324319,51.18432796
E07000175,E92000001E07000175,210.6025817,413.0363612,623.6389429,114817,-0.918159012,53.12367926
E07000111,E92000001E07000111,247.7128264,247.8147838,495.5276102,114893,0.173722708,51.27496203
E07000116,E92000001E07000116,226.1570562,335.4023363,561.5593925,115049,0.432332145,51.11381628
W06000003,W92000004W06000003,197.1498495,234.578685,431.7285345,115228,-3.735223435,53.14069989
E07000206,E92000001E07000206,215.5736874,354.4235001,569.9971875,115254,1.586631137,52.41885925
E07000085,E92000001E07000085,238.1306823,235.0100611,473.1407434,115608,-0.953576037,51.07411456
E07000078,E92000001E07000078,191.3779356,330.4534165,521.8313521,115732,-2.072630564,51.89656969
S12000041,S92000003S12000041,256.9378142,276.8745454,533.8123596,115978,-2.91602671,56.72417321
E07000093,E92000001E07000093,237.2700204,370.9103322,608.1803526,116398,-1.509207585,51.12809138
E07000094,E92000001E07000094,228.6455443,410.3544203,638.9999646,116595,-1.219764045,51.02772315
E07000238,E92000001E07000238,220.4086472,401.5050143,621.9136615,116944,-2.049649811,52.16390435
E07000041,E92000001E07000041,175.1552052,411.9423489,587.0975541,117773,-3.508985912,50.72108427
E07000105,E92000001E07000105,226.353521,304.1390321,530.4925531,117956,0.813115561,51.12475872
E07000170,E92000001E07000170,196.2363255,411.0952953,607.3316208,119497,-1.257631563,53.09197877
E07000221,E92000001E07000221,257.9010198,392.885676,650.7866958,120485,-1.621496906,52.17840105
E07000090,E92000001E07000090,209.6186331,229.6436968,439.2623299,120684,-0.987763616,50.8374865
E07000115,E92000001E07000115,223.1258931,345.7868656,568.9127587,120805,0.359568361,51.27309017
E07000180,E92000001E07000180,238.9128094,492.7558244,731.6686338,120988,-1.440142433,51.63375637
E07000216,E92000001E07000216,252.2791844,213.7220584,466.0012428,121572,-0.631194927,51.14926
E07000081,E92000001E07000081,191.0366033,304.1656484,495.2022517,121688,-2.238890881,51.84892946
W06000002,W92000004W06000002,250.1284821,339.6328939,589.761376,121874,-4.023392388,52.89457058
E07000032,E92000001E07000032,217.0023003,368.7166573,585.7189576,122309,-1.465085582,53.02894802
W06000009,W92000004W06000009,227.2453736,851.8966625,1079.142036,122439,-4.886002428,51.85340908
S12000008,S92000003S12000008,201.7660147,248.9912178,450.7572325,122767,-4.313078614,55.48537454
E07000008,E92000001E07000008,177.9831259,516.7760613,694.7591872,123867,0.134585647,52.19893879
